colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"VIA DEGLI","DEGLI","ARTIGIANI","10 - A","DAL 3 AL 23 E DAL 12 AL 24","SAN MINIATO","VIA DEGLI ARTIGIANI"
"VIA","","ARZILLI DON GIUSEPPE","7 - A","SNC","CASTELFRANCO DI SOTTO","VIA  ARZILLI DON GIUSEPPE"
"VIA","","ASMARA","11 - A","TUTTI","SAN MINIATO","VIA  ASMARA"
"VIA","","BACHELET VITTORIO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  BACHELET VITTORIO"
"VIA","","BACHELET VITTORIO","9 - A","TUTTI","SAN MINIATO","VIA  BACHELET VITTORIO"
"VIA","","BAGLIONI EMILIO","11 - B","TUTTI","SAN MINIATO","VIA  BAGLIONI EMILIO"
"VIA","","BAGNOLI PIETRO","12 - B","TUTTI","SAN MINIATO","VIA  BAGNOLI PIETRO"
"LOCALITA'","","BALCONEVISI","14 - A","TUTTI","SAN MINIATO","LOCALITA'  BALCONEVISI"
"VIA","","BALDACCI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BALDACCI"
"VIA","","BALDUCCI PADRE ERNESTO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BALDUCCI PADRE ERNESTO"
"VIA","","BALDUCCI PADRE ERNESTO","10 - B","TUTTI","SAN MINIATO","VIA  BALDUCCI PADRE ERNESTO"
"VIA","","BALDUCCI PADRE ERNESTO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BALDUCCI PADRE ERNESTO"
"VIA","","BANCHINI TANCREDI","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BANCHINI TANCREDI"
"VIA","","BANTI CRISTIANO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  BANTI CRISTIANO"
"VIA","","BARBATA","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BARBATA"
"VIA","","BARBERIA","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BARBERIA"
"VIA","","BARBERIA LA ROCCA","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BARBERIA LA ROCCA"
"VIA","","BARBINAIA","14 - A","TUTTI","SAN MINIATO","VIA  BARBINAIA"
"VIA","","BARGHINI","7 - A","DAL 7 AL 29 E DAL  6 AL 86","CASTELFRANCO DI SOTTO","VIA  BARGHINI"
