colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"PIAZZETTA","","CATTANEO CARLO","9 - A","TUTTI","SAN MINIATO","PIAZZETTA  CATTANEO CARLO"
"VIA","","CATTANEO CARLO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CATTANEO CARLO"
"VIA","","CAVALIERI DI VITTORIO VENETO","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CAVALIERI DI VITTORIO VENETO"
"VICOLO","","CAVALLOTTI FELICE","8 - B","TUTTI","SAN MINIATO","VICOLO  CAVALLOTTI FELICE"
"VIA","","CAVANE","10 - B","TUTTI","SAN MINIATO","VIA  CAVANE"
"VIA","","CAVOUR","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  CAVOUR"
"VIA","","CAVOUR","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CAVOUR"
"VIA","","CAVOUR","11 - B","TUTTI","SAN MINIATO","VIA  CAVOUR"
"VIA","","CAVOUR","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CAVOUR"
"VIA","","CELLINI BENVENUTO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CELLINI BENVENUTO"
"VIA","","CERRETTI","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  CERRETTI"
"VIA PRIVATA","","CERRINI PIETRO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA PRIVATA  CERRINI PIETRO"
"VIA DEL","DEL","CERRO","7 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL CERRO"
"VIA","","CHERUBINI LUIGI","8 - A","TUTTI","SAN MINIATO","VIA  CHERUBINI LUIGI"
"VIA","","CHIECINA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CHIECINA"
"VIA DELLA","DELLA","CHIESA","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DELLA CHIESA"
"VIA","","CHIESA DAMIANO","9 - A","TUTTI","SAN MINIATO","VIA  CHIESA DAMIANO"
"VIA","","CIABATTINI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CIABATTINI"
"VIA","","CILEA FRANCESCO","8 - A","TUTTI","SAN MINIATO","VIA  CILEA FRANCESCO"
"VIA DEL","DEL","CILIEGIO","6 - A","SNC","CASTELFRANCO DI SOTTO","VIA DEL CILIEGIO"
"VIA","","CIMABUE","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CIMABUE"
"VIA","","CIMAROSA DOMENICO","8 - A","TUTTI","SAN MINIATO","VIA  CIMAROSA DOMENICO"
"VIA","","CIMAROSA DOMENICO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CIMAROSA DOMENICO"
"VIA DEL","DEL","CIMITERO","14 - B","TUTTI","SAN MINIATO","VIA DEL CIMITERO"
"VIA DEL","DEL","CIMITERO DI MONTECALVOLI","15 - A","TUTTI","SANTA MARIA A MONTE","VIA DEL CIMITERO DI MONTECALVOLI"
"VIA","","CINQUE CASE","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  CINQUE CASE"
"VIA","","CINTOIA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CINTOIA"
"VIA DEI","DEI","CIPRESSI","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEI CIPRESSI"
"VIA DELLA","DELLA","CISTERNA","11 - B","TUTTI","SAN MINIATO","VIA DELLA CISTERNA"
"VIA DELLA","DELLA","CIVILTA'","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA CIVILTA'"
"VIA","","CODIGNOLA ERNESTO","11 - A","TUTTI","SAN MINIATO","VIA  CODIGNOLA ERNESTO"
"VIA","","COLLE","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  COLLE"
"VIA","","COLLEBRUNACCHI","14 - B","1- DAL 2 AL 16A","SAN MINIATO","VIA  COLLEBRUNACCHI"
"VIA","","COLLEBRUNACCHI","14 - A","20","SAN MINIATO","VIA  COLLEBRUNACCHI"
"VIA","","COLLEGIATA","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  COLLEGIATA"
"VIA","","COLLINARE","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  COLLINARE"
"VIA DELLE","DELLE","COLLINE","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLE COLLINE"
"VIA","","COLLODI","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  COLLODI"
"VIA","","COLOMBAIE","17 - B","TUTTI","SANTA MARIA A MONTE","VIA  COLOMBAIE"
"VIA","","COLOMBO CRISTOFORO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  COLOMBO CRISTOFORO"
"VIA","","COLOMBO CRISTOFORO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  COLOMBO CRISTOFORO"
"VIA","","COLOMBO CRISTOFORO","14 - A","TUTTI","SAN MINIATO","VIA  COLOMBO CRISTOFORO"
"VIA","","COLOMBO CRISTOFORO","21","TUTTI","SANTA CROCE SULL'ARNO","VIA  COLOMBO CRISTOFORO"
"VIA","","COMANA","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  COMANA"
"PIAZZA DEL","DEL","COMUNE","15 - A","TUTTI","SANTA MARIA A MONTE","PIAZZA DEL COMUNE"
"VIA DELLE","DELLE","COMUNICAZIONI","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DELLE COMUNICAZIONI"
"VIA DEI","DEI","CONCIATORI","8 - A","TUTTI","SAN MINIATO","VIA DEI CONCIATORI"
"VIA","","CONCIATORI","3 - A","TUTTI TRANNE 44","SANTA CROCE SULL'ARNO","VIA  CONCIATORI"
"VIA","","CONCIATORI","21","44","SANTA CROCE SULL'ARNO","VIA  CONCIATORI"
"VIALE IL","IL","CONCILIATORE","9 - A","TUTTI","SAN MINIATO","VIALE IL CONCILIATORE"
"VIA DEL","DEL","CONCILIO","2 - B","SNC","SANTA CROCE SULL'ARNO","VIA DEL CONCILIO"
"VIA DELLE","DELLE","CONFINA","6 - A","DAL 3 AL 97","CASTELFRANCO DI SOTTO","VIA DELLE CONFINA"
"VIA DELLE","DELLE","CONFINA DI CASTELFRANCO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLE CONFINA DI CASTELFRANCO"
"VIA DELLE","DELLE","CONFINA DI FUCECCHIO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLE CONFINA DI FUCECCHIO"
"VIA DEL","DEL","CONFINE","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL CONFINE"
"VIA","","CONTI AUGUSTO","12 - B","TUTTI","SAN MINIATO","VIA  CONTI AUGUSTO"
"VIA","","CONTRADA NUOVA","9 - A","TUTTI","SAN MINIATO","VIA  CONTRADA NUOVA"
"VIA","","COPERNICO NICCOLO'","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  COPERNICO NICCOLO'"
"VIA","","CORELLI ARCANGELO","8 - A","TUTTI","SAN MINIATO","VIA  CORELLI ARCANGELO"
"VIA","","CORNIANO","14 - B","TUTTI","SAN MINIATO","VIA  CORNIANO"
"VIA","","CORRIDONI FILIPPO","10 - A","TUTTI","SAN MINIATO","VIA  CORRIDONI FILIPPO"
"VIA","","CORRIDONI FILIPPO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CORRIDONI FILIPPO"
"VIA","","CORTA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CORTA"
"VIA","","COSTA","9 - B","TUTTI","SAN MINIATO","VIA  COSTA"
"VIA","","COSTA","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  COSTA"
"VIA","","COSTA AL BAGNO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  COSTA AL BAGNO"
"VIA","","COSTA ANDREA","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  COSTA ANDREA"
"VIA","","COSTA MONTEFALCONI","4 - B","DAL 1 AL 9","CASTELFRANCO DI SOTTO","VIA  COSTA MONTEFALCONI"
"LARGO","","COSTAGLI TIBERIO","9 - A","TUTTI","SAN MINIATO","LARGO  COSTAGLI TIBERIO"
"VIA DELLA","DELLA","COSTITUENTE","9 - A","TUTTI TRANNE 15,18","SAN MINIATO","VIA DELLA COSTITUENTE"
"VIA DELLA","DELLA","COSTITUENTE","22","15;18","SAN MINIATO","VIA DELLA COSTITUENTE"
"PIAZZA DELLA","DELLA","COSTITUZIONE","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA DELLA COSTITUZIONE"
"VIA DELLA","DELLA","COSTITUZIONE","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLA COSTITUZIONE"
"VIA","","COSTITUZIONE","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  COSTITUZIONE"
"VIA","","COVINA","14 - B","TUTTI","SAN MINIATO","VIA  COVINA"
"VIA","","CRIMEA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CRIMEA"
"VIA","","CRIMEA","9 - B","TUTTI","SAN MINIATO","VIA  CRIMEA"
"VIA","","CRINALE","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  CRINALE"
"VIA","","CRISTIANI TULLIO","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  CRISTIANI TULLIO"
"VIA","","CROCE BENEDETTO","9 - A","TUTTI","SAN MINIATO","VIA  CROCE BENEDETTO"
"VIA","","CROCE BENEDETTO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CROCE BENEDETTO"
"VIA DELLA","DELLA","CROCIATA","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA CROCIATA"
"PIAZZA","","CUOCO VINCENZO","12 - A","TUTTI","SAN MINIATO","PIAZZA  CUOCO VINCENZO"
"VIA DEL","DEL","CUOIO","8 - A","TUTTI","SAN MINIATO","VIA DEL CUOIO"
"VIA","","CUPINI AZ E GIN","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  CUPINI AZ E GIN"
"VIA","","CURIE MARIA","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CURIE MARIA"
"VIA","","CURIEL EUGENIO","10 - A","TUTTI","SAN MINIATO","VIA  CURIEL EUGENIO"
"PIAZZETTA","","CURIEL EUGENIO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","PIAZZETTA  CURIEL EUGENIO"
"VIA","","CURTATONE E MONTANARA","9 - A","TUTTI","SAN MINIATO","VIA  CURTATONE E MONTANARA"
"VIA","","CURTATONE E MONTANARA","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CURTATONE E MONTANARA"
"VIA","","CUSIGNANO","14 - B","TUTTI","SAN MINIATO","VIA  CUSIGNANO"
"PIAZZA","","DA MONTOPOLI MICHELE","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  DA MONTOPOLI MICHELE"
"VIA","","DA PALESTRINA PIER LUIGI","8 - A","TUTTI","SAN MINIATO","VIA  DA PALESTRINA PIER LUIGI"
"VIA","","DA VERRAZZANO GIOVANNI","21","TUTTI","SANTA CROCE SULL'ARNO","VIA  DA VERRAZZANO GIOVANNI"
"VIA","","DA VINCI LEONARDO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  DA VINCI LEONARDO"
"VIA","","DA VINCI LEONARDO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  DA VINCI LEONARDO"
"VIALE","","DA VINCI LEONARDO","8 - A","TUTTI","SAN MINIATO","VIALE  DA VINCI LEONARDO"
"VIA","","DA VINCI LEONARDO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  DA VINCI LEONARDO"
"VIA","","DA VINCI LEONARDO","17 - B","TUTTI","SANTA MARIA A MONTE","VIA  DA VINCI LEONARDO"
"VIA","","D'ACQUISTO SALVO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  D'ACQUISTO SALVO"
"PIAZZA","","DALLA CHIESA CARLO ALBERTO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  DALLA CHIESA CARLO ALBERTO"
"VIA","","DALMAZIA","11 - B","TUTTI","SAN MINIATO","VIA  DALMAZIA"
"VIA","","DANI ALBERTO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  DANI ALBERTO"
"VIA","","DANTE","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  DANTE"
"VIA","","DANTE","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  DANTE"
"VIA","","DANTE","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  DANTE"
"VIA","","D'ANTONA MASSIMO","11 - B","TUTTI","SAN MINIATO","VIA  D'ANTONA MASSIMO"
"VIA","","D'AZEGLIO MASSIMO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  D'AZEGLIO MASSIMO"
"VIA","","D'AZEGLIO MASSIMO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  D'AZEGLIO MASSIMO"
"VIA","","DE AMICIS EDMONDO","12 - B","TUTTI","SAN MINIATO","VIA  DE AMICIS EDMONDO"
"VIA","","DE ANDRE' FABRIZIO","21","6; 10","SANTA CROCE SULL'ARNO","VIA  DE ANDRE' FABRIZIO"
"LARGO","","DE ANDRE' FABRIZIO","15 - B","TUTTI","SANTA MARIA A MONTE","LARGO  DE ANDRE' FABRIZIO"
"VIA","","DE CORI GABRIELLA","16 - A","TUTTI","SANTA MARIA A MONTE","VIA  DE CORI GABRIELLA"
"VIA","","DE FILIPPO EDUARDO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  DE FILIPPO EDUARDO"
"VIA","","DE FONSECA PIMENTEL ELEONORA","13 - A","TUTTI","SAN MINIATO","VIA  DE FONSECA PIMENTEL ELEONORA"
"VIA","","DE GASPERI ALCIDE","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  DE GASPERI ALCIDE"
"VIA","","DE GASPERI ALCIDE","14 - A","TUTTI","SAN MINIATO","VIA  DE GASPERI ALCIDE"
"VIA","","DE' MANGIADORI","12 - B","9","SAN MINIATO","VIA  DE' MANGIADORI"
"VIA","","DE SANCTIS FRANCESCO","12 - A","TUTTI","SAN MINIATO","VIA  DE SANCTIS FRANCESCO"
"VIA","","DE SANCTIS FRANCESCO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  DE SANCTIS FRANCESCO"
"VIA","","DEL BRAVO ANGIOLO","12 - B","TUTTI","SAN MINIATO","VIA  DEL BRAVO ANGIOLO"
"VIA","","DELEDDA GRAZIA","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  DELEDDA GRAZIA"
"VIA","","DELEDDA GRAZIA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  DELEDDA GRAZIA"
"VIA","","DELEDDA GRAZIA","12 - A","TUTTI","SAN MINIATO","VIA  DELEDDA GRAZIA"
"VIA","","DELEDDA GRAZIA","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  DELEDDA GRAZIA"
"VIA","","DELLA CAPANNA DINO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  DELLA CAPANNA DINO"
"VIA","","DELLE VIGNE PIER","11 - B","DAL 3 AL 79 E DAL 2 AL 22","SAN MINIATO","VIA  DELLE VIGNE PIER"
"VIA","","DELLE VIGNE PIER","10 - B","DAL 24 AL 28/A","SAN MINIATO","VIA  DELLE VIGNE PIER"
"VIA DELLA","DELLA","DEMOCRAZIA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA DEMOCRAZIA"
"VIA","","DI CALCUTTA MADRE TERESA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  DI CALCUTTA MADRE TERESA"
"VIA","","DI CALCUTTA MADRE TERESA","10 - A","TUTTI","SAN MINIATO","VIA  DI CALCUTTA MADRE TERESA"
"VIA","","DI PIETRO ANDREA","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  DI PIETRO ANDREA"
"VIA","","DI VITTORIO GIUSEPPE","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  DI VITTORIO GIUSEPPE"
"VIA","","DI VITTORIO GIUSEPPE","9 - B","TUTTI","SAN MINIATO","VIA  DI VITTORIO GIUSEPPE"
"VIALE","","DI VITTORIO GIUSEPPE","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIALE  DI VITTORIO GIUSEPPE"
"VIA","","DIAZ ARMANDO","8 - B","TUTTI","SAN MINIATO","VIA  DIAZ ARMANDO"
"VIA","","DICIOTTO GIUGNO","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  DICIOTTO GIUGNO"
"VIA DI","DI","DIETRO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DI DIETRO"
"VIA DELLA","DELLA","DISTILLERIA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA DISTILLERIA"
"VIA","","DON BOTTI","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  DON BOTTI"
"PIAZZA","","DON GENNARO","7 - A","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  DON GENNARO"
"VIA","","DON MINZONI","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  DON MINZONI"
"VIALE","","DON MINZONI","12 - B","TUTTI","SAN MINIATO","VIALE  DON MINZONI"
"VIA","","DON MINZONI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  DON MINZONI"
"VIA","","DON MOROSINI","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  DON MOROSINI"
"VIA","","DON MOROSINI","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  DON MOROSINI"
"PIAZZA","","DON RUGGINI","11 - A","SNC","SAN MINIATO","PIAZZA  DON RUGGINI"
"VIA","","DONATI GIUSEPPE","8 - B","TUTTI","SAN MINIATO","VIA  DONATI GIUSEPPE"
"VIA","","DONATI IGNAZIO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  DONATI IGNAZIO"
"VIA","","DONICA","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  DONICA"
"VIA","","DONIZETTI GAETANO","8 - A","TUTTI","SAN MINIATO","VIA  DONIZETTI GAETANO"
"VIA","","DORI","7 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  DORI"
"VIA","","DOSSETTI GIUSEPPE","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  DOSSETTI GIUSEPPE"
"VIA DEL","DEL","DOTTORINO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEL DOTTORINO"
"VIALE","","DUE GIUGNO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIALE  DUE GIUGNO"
"PIAZZA","","DUE GIUGNO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  DUE GIUGNO"
"PIAZZA","","DUE GIUGNO","10 - B","TUTTI","SAN MINIATO","PIAZZA  DUE GIUGNO"
"VIA","","DUE GIUGNO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  DUE GIUGNO"
"LARGO","","DUE SETTEMBRE","5 - A","TUTTI","CASTELFRANCO DI SOTTO","LARGO  DUE SETTEMBRE"
"VIA DELLE","DELLE","DUE VILLE","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLE DUE VILLE"
"PIAZZA","","DUOMO","22","TUTTI","SAN MINIATO","PIAZZA  DUOMO"
"SCALINATA","","DUOMO","12 - B","TUTTI","SAN MINIATO","SCALINATA  DUOMO"
"VIA","","DURANTI","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  DURANTI"
"VIA","","EGOLA","14 - A","TUTTI","SAN MINIATO","VIA  EGOLA"
"VIA","","EINAUDI LUIGI","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  EINAUDI LUIGI"
"VIA","","ELSA","14 - B","TUTTI","SAN MINIATO","VIA  ELSA"
"VIA","","EMILIA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  EMILIA"
"VIA","","EMILIA","10 - A","TUTTI","SAN MINIATO","VIA  EMILIA"
"VIA","","EMILIA ROMAGNA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  EMILIA ROMAGNA"
"VIA","","ENZI","14 - B","TUTTI","SAN MINIATO","VIA  ENZI"
"VIA DELLE","DELLE","ERICHE","13 - A","TUTTI","SAN MINIATO","VIA DELLE ERICHE"
"VIA DELLA","DELLA","ERSE","3 - A","DAL 1 AL 11","SANTA CROCE SULL'ARNO","VIA DELLA ERSE"
"VIA","","ERTI","13 - A","3; 5; ;7 ;15 E DAL 2 AL 16","SAN MINIATO","VIA  ERTI"
"VIA","","ERTI","13 - B","11; 13 DAL 17 AL 35 E DAL 18 AL 24","SAN MINIATO","VIA  ERTI"
"VIA DELL'","DELL'","EUCALIPTO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DELL' EUCALIPTO"
"VIALE","","EUROPA","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIALE  EUROPA"
"VIA","","EUROPA","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  EUROPA"
"VIA","","EUROPA","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  EUROPA"
"VIA DE'","DE'","FABBRI","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DE' FABBRI"
"VIA DEL","DEL","FAGGIO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL FAGGIO"
"VIA","","FALCHI ISIDORO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FALCHI ISIDORO"
"VIA DEL","DEL","FALCO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DEL FALCO"
"VIA DEL","DEL","FALCONE","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DEL FALCONE"
"VIA","","FALCONE E BORSELLINO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FALCONE E BORSELLINO"
"VIA","","FALCONE E BORSELLINO","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  FALCONE E BORSELLINO"
"VIA","","FALCONE GIOVANNI","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  FALCONE GIOVANNI"
"VIA","","FALCONE GIOVANNI","10 - A","TUTTI","SAN MINIATO","VIA  FALCONE GIOVANNI"
"VIA","","FALORNI","16 - A","TUTTI","SANTA MARIA A MONTE","VIA  FALORNI"
"PIAZZA","","FANTOZZI ALVARO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  FANTOZZI ALVARO"
"VIA","","FARNETO","9 - B","TUTTI","SAN MINIATO","VIA  FARNETO"
"VIA","","FATTORI GIOVANNI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FATTORI GIOVANNI"
"VIA","","FELLINI FEDERICO","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FELLINI FEDERICO"
"VIA","","FERMI ENRICO","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  FERMI ENRICO"
"VIA","","FERMI ENRICO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FERMI ENRICO"
"VIA","","FERMI ENRICO","11 - A","TUTTI","SAN MINIATO","VIA  FERMI ENRICO"
"VIA","","FERMI ENRICO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FERMI ENRICO"
"VIA","","FERRARI ENZO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  FERRARI ENZO"
"PIAZZA","","FERRARI ENZO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  FERRARI ENZO"
"VIA","","FERRARI GIUSEPPE","9 - A","TUTTI","SAN MINIATO","VIA  FERRARI GIUSEPPE"
"VIA","","FERRER FRANCISCO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FERRER FRANCISCO"
"PIAZZA","","FERRETTI","5 - A","2","CASTELFRANCO DI SOTTO","PIAZZA  FERRETTI"
"VIA","","FERRETTO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FERRETTO"
"VIA","","FERRUCCI FRANCESCO","12 - B","TUTTI","SAN MINIATO","VIA  FERRUCCI FRANCESCO"
"PIAZZA","","FIAMME GIALLE","11 - A","TUTTI","SAN MINIATO","PIAZZA  FIAMME GIALLE"
"VIA","","FILANGIERI GAETANO","13 - B","TUTTI","SAN MINIATO","VIA  FILANGIERI GAETANO"
"VIA","","FILZI FABIO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FILZI FABIO"
"VIA DEI","DEI","FIORI","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DEI FIORI"
"VIA","","FIRENZE","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  FIRENZE"
"VIA","","FIRENZE","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FIRENZE"
"VIA","","FIRENZE","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  FIRENZE"
"VIA","","FIRENZUOLA","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  FIRENZUOLA"
"VIA","","FIUME","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FIUME"
"VIA","","FIUME","10 - B","TUTTI","SAN MINIATO","VIA  FIUME"
"VIA","","FLEMING ALESSANDRO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  FLEMING ALESSANDRO"
"VIA","","FOGAZZARO ANTONIO","12 - B","TUTTI","SAN MINIATO","VIA  FOGAZZARO ANTONIO"
"VIA","","FONDA","20 - B","TUTTI TRANNE IL 23","MONTOPOLI IN VAL D'ARNO","VIA  FONDA"
"VIA","","FONDA","19 - B","23","MONTOPOLI IN VAL D'ARNO","VIA  FONDA"
"VIA","","FONTANELLE","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FONTANELLE"
"VIA","","FONTE","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  FONTE"
"VIA","","FONTEVIVO","12 - A","TUTTI","SAN MINIATO","VIA  FONTEVIVO"
"VIA","","FONTI","13 - B","TUTTI","SAN MINIATO","VIA  FONTI"
"VIA","","FONTI DI STIBBIO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  FONTI DI STIBBIO"
"VIA","","FONTI DI STIBBIO","9 - B","TUTTI","SAN MINIATO","VIA  FONTI DI STIBBIO"
"VIA DELLE","DELLE","FONTINE","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DELLE FONTINE"
"VIA","","FONTINE","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  FONTINE"
"VIA DEL","DEL","FONTINO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEL FONTINO"
"VIA DEL","DEL","FORCHETTO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEL FORCHETTO"
"VIA DELLA","DELLA","FORNACE","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA FORNACE"
"VIA","","FORNACE VECCHIA","11 - B","TUTTI","SAN MINIATO","VIA  FORNACE VECCHIA"
"LOCALITA'","","FORNACINO","14 - A","TUTTI","SAN MINIATO","LOCALITA'  FORNACINO"
"VICOLO DEL","DEL","FORNO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VICOLO DEL FORNO"
"VIA","","FORNOLI","19 - A","DAL 5 AL 39 E DAL 2 AL 66","MONTOPOLI IN VAL D'ARNO","VIA  FORNOLI"
"VIA","","FORNOLI","18 - A","43- E DAL 68 AL  80","MONTOPOLI IN VAL D'ARNO","VIA  FORNOLI"
